"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10"
"Entity 1.NumberIn","OUTPUT VALUE","Number In","Entity","Entity 1",10667,10667,10667,10667,10667,10667,10667,10667,10667,10667
"Entity 1.NumberOut","OUTPUT VALUE","Number Out","Entity","Entity 1",10233,10272,10256,10273,10244,10263,10255,10279,10236,10262
"Lote.NumberIn","OUTPUT VALUE","Number In","Entity","Lote",30,30,30,30,30,30,30,30,30,30
"Lote.NumberOut","OUTPUT VALUE","Number Out","Entity","Lote",30,30,30,30,30,30,30,30,30,30
"Maq Colagem.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Maq Colagem",10808,10792,10809,10829,10809,10855,10795,10852,10778,10821
"Maq Colagem.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Maq Colagem",0.756527273522497,0.75415472444234,0.750754544775751,0.756490982502096,0.747162990362511,0.758528320493654,0.750699766422409,0.756179981072763,0.748222682372645,0.752809973452879
"Maq Corte.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Maq Corte",10289,10318,10302,10314,10283,10319,10317,10335,10278,10311
"Maq Corte.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Maq Corte",0.923363633464607,0.919602341800957,0.92573386313513,0.927902108890375,0.934662903989859,0.919546281133489,0.923087535562581,0.948520753043882,0.92613962289397,0.916718472970514
"Operador Inspecao.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Operador Inspecao",10807,10791,10805,10820,10808,10851,10791,10846,10774,10812
"Operador Inspecao.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Operador Inspecao",0.759477091828871,0.750087289667849,0.748405795375688,0.757594259289421,0.745734925216044,0.757092249612873,0.754344796080521,0.755825698840812,0.752414752197565,0.752109177658941
