"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10"
"Maq Acabamento.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Maq Acabamento",232,232,238,236,236,246,221,220,241,231
"Maq Acabamento.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Maq Acabamento",0.24042778075174,0.245138883863387,0.24070506890615,0.246628784468464,0.254948182038045,0.249550410365804,0.243633999602537,0.22876651923427,0.244936098971537,0.262238251808175
"Maq Borda.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Maq Borda",232,232,238,237,236,246,221,221,241,231
"Maq Borda.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Maq Borda",0.254027378276221,0.241380888509913,0.24089313845858,0.257724631620861,0.255416475123102,0.250644190736595,0.254974900159064,0.244324666900064,0.24115072901826,0.245387146713066
"Moedas.NumberIn","OUTPUT VALUE","Number In","Entity","Moedas",2001,2001,2001,2001,2001,2001,2001,2001,2001,2001
"Moedas.NumberOut","OUTPUT VALUE","Number Out","Entity","Moedas",232,232,238,236,236,246,220,220,241,230
"Prensa Cara.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Prensa Cara",233,233,239,237,237,247,221,221,242,231
"Prensa Cara.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Prensa Cara",0.247560744011564,0.25242881519428,0.256385115801409,0.239774868573829,0.260221079963333,0.238603525323047,0.246780238284132,0.247153869194872,0.246977188429435,0.246270547925565
"Prensa Coroa.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Prensa Coroa",233,232,239,237,236,247,221,221,241,231
"Prensa Coroa.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Prensa Coroa",0.257984096960476,0.261051412432421,0.26201667683386,0.255871715336846,0.22941426287552,0.261201873574554,0.254610861954267,0.279754944670794,0.266935983580767,0.246104053553193
"System.NumberOut","OUTPUT VALUE","Number Out","System","System",232,232,238,236,236,246,220,220,241,230
"Throughput","OUTPUT VALUE","Output","User Specified","Throughput",0.1159994200029,0.1159994200029,0.118999405002975,0.11799941000295,0.11799941000295,0.122999385003075,0.10999945000275,0.10999945000275,0.120499397503012,0.114999425002875
"Acabamento.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Acabamento.Queue",0,0,0,0,0,0,0,0,0,0
"Acabamento.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Acabamento.Queue",0,0,0,0,0,0,0,0,0,0
"Borda.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Borda.Queue",0,0,0,0,0,0,0,0,0,0
"Borda.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Borda.Queue",0,0,0,0,0,0,0,0,0,0
"Estampa Cara.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Estampa Cara.Queue",0,0,0,0,0,0,0,0,0,0
"Estampa Cara.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Estampa Cara.Queue",0,0,0,0,0,0,0,0,0,0
"Estampa Coroa.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Estampa Coroa.Queue",0,0,0,0,0,0,0,0,0,0
"Estampa Coroa.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Estampa Coroa.Queue",0,0,0,0,0,0,0,0,0,0
"LeadTime","TALLY AVERAGE","Interval","User Specified","LeadTime",8.60721964428068,8.59981259491012,8.39044666881744,8.44221600342883,8.45859126875989,8.10913668016445,9.06408901243775,9.06745538229223,8.28895465836804,8.67579961198387
"Maq Acabamento.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","Maq Acabamento",0.24042778075174,0.245138883863387,0.24070506890615,0.246628784468464,0.254948182038045,0.249550410365804,0.243633999602537,0.22876651923427,0.244936098971537,0.262238251808175
"Maq Acabamento.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","Maq Acabamento",1,1,1,1,1,1,1,1,1,1
"Maq Acabamento.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","Maq Acabamento",0.24042778075174,0.245138883863387,0.24070506890615,0.246628784468464,0.254948182038045,0.249550410365804,0.243633999602537,0.22876651923427,0.244936098971537,0.262238251808175
"Maq Borda.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","Maq Borda",0.254027378276221,0.241380888509913,0.24089313845858,0.257724631620861,0.255416475123102,0.250644190736595,0.254974900159064,0.244324666900064,0.24115072901826,0.245387146713066
"Maq Borda.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","Maq Borda",1,1,1,1,1,1,1,1,1,1
"Maq Borda.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","Maq Borda",0.254027378276221,0.241380888509913,0.24089313845858,0.257724631620861,0.255416475123102,0.250644190736595,0.254974900159064,0.244324666900064,0.24115072901826,0.245387146713066
"Moedas.NVATime","TALLY AVERAGE","NVA Time","Entity","Moedas",0,0,0,0,0,0,0,0,0,0
"Moedas.OtherTime","TALLY AVERAGE","Other Time","Entity","Moedas",0,0,0,0,0,0,0,0,0,0
"Moedas.TotalTime","TALLY AVERAGE","Total Time","Entity","Moedas",906.308828772501,892.485650848826,885.000747145465,894.830308971766,850.62818819939,886.207010087618,906.830113092081,891.854528333052,886.864444793252,876.016989684334
"Moedas.TranTime","TALLY AVERAGE","Transfer Time","Entity","Moedas",0,0,0,0,0,0,0,0,0,0
"Moedas.VATime","TALLY AVERAGE","VA Time","Entity","Moedas",8.60721964428068,8.59981259491012,8.39044666881744,8.44221600342883,8.45859126875989,8.10913668016445,9.06408901243775,9.06745538229223,8.28895465836804,8.67579961198387
"Moedas.WaitTime","TALLY AVERAGE","Wait Time","Entity","Moedas",897.70160912822,883.885838253916,876.610300476648,886.388092968338,842.16959693063,878.097873407453,897.766024079642,882.787072950759,878.575490134885,867.34119007235
"Moedas.WIP","DSTAT AVERAGE","WIP","Entity","Moedas",887.02982413761,885.426335498463,881.91658891031,883.954976458669,878.739126207527,878.570962240777,892.296312440129,890.648998116635,880.827165597587,884.409453813698
"Prensa Cara.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","Prensa Cara",0.247560744011564,0.25242881519428,0.256385115801409,0.239774868573829,0.260221079963333,0.238603525323047,0.246780238284132,0.247153869194872,0.246977188429435,0.246270547925565
"Prensa Cara.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","Prensa Cara",1,1,1,1,1,1,1,1,1,1
"Prensa Cara.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","Prensa Cara",0.247560744011564,0.25242881519428,0.256385115801409,0.239774868573829,0.260221079963333,0.238603525323047,0.246780238284132,0.247153869194872,0.246977188429435,0.246270547925565
"Prensa Coroa.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","Prensa Coroa",0.257984096960476,0.261051412432421,0.26201667683386,0.255871715336846,0.22941426287552,0.261201873574554,0.254610861954267,0.279754944670794,0.266935983580767,0.246104053553193
"Prensa Coroa.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","Prensa Coroa",1,1,1,1,1,1,1,1,1,1
"Prensa Coroa.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","Prensa Coroa",0.257984096960476,0.261051412432421,0.26201667683386,0.255871715336846,0.22941426287552,0.261201873574554,0.254610861954267,0.279754944670794,0.266935983580767,0.246104053553193
"Segurar Demanda.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Segurar Demanda.Queue",886.02982413761,884.426335498463,880.91658891031,882.954976458669,877.739126207527,877.570962240777,891.296312440129,889.648998116635,879.827165597587,883.409453813698
