"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10"
"Maq Acabamento.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Maq Acabamento",815,798,807,813,809,854,799,816,826,810
"Maq Acabamento.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Maq Acabamento",0.895198393256187,0.908673251320111,0.872603373450633,0.875766136936726,0.868231375096969,0.905793874165444,0.883427993310256,0.865436348249699,0.890489807318709,0.857645711621895
"Maq Borda.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Maq Borda",817,804,809,821,814,855,800,817,834,813
"Maq Borda.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Maq Borda",0.862304110118445,0.848630221943056,0.884752437819913,0.842521844508497,0.855126338711583,0.882991573664302,0.881631613611638,0.887450872193586,0.904885569092106,0.875551305328531
"Moedas.NumberIn","OUTPUT VALUE","Number In","Entity","Moedas",2001,2001,2001,2001,2001,2001,2001,2001,2001,2001
"Moedas.NumberOut","OUTPUT VALUE","Number Out","Entity","Moedas",814,797,806,812,808,853,798,815,825,809
"Prensa Cara.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Prensa Cara",829,813,815,828,821,869,814,822,838,825
"Prensa Cara.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Prensa Cara",0.871097205972755,0.877538009307167,0.896922600565511,0.875216102980114,0.893882748985039,0.885827284230389,0.874858097556469,0.961876383687628,0.895942120231744,0.914845843808546
"Prensa Coroa.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Prensa Coroa",818,808,814,828,819,856,808,821,836,824
"Prensa Coroa.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Prensa Coroa",0.857752494459352,0.865248902113281,0.852915202138959,0.887142178235415,0.900355144561149,0.89928149849905,0.863279178621223,0.905682511615352,0.8953116405504,0.921771879030657
